,precision,recall,f1-score,support
High (250–450 kcal),0.9576783555018138,0.9428571428571428,0.9502099580083984,1680.0
Low (<100 kcal),0.9884674525884162,0.9866973650550013,0.9875816156702086,3909.0
Medium (100–250 kcal),0.9557461406518011,0.9710700592540955,0.9633471645919779,2869.0
Very High (>450 kcal),0.9875735775016351,0.9792477302204928,0.9833930315858027,1542.0
accuracy,0.9737,0.9737,0.9737,0.9737
macro avg,0.9723663815609165,0.9699680743466832,0.971132942464097,10000.0
weighted avg,0.9737693043448704,0.9737,0.9737044335028646,10000.0
